#gene	Normal1	Normal2	Normal3	Normal4	Normal5	Normal6	Normal7	Normal8	Normal9	Normal10	Normal11	Normal12	Normal13	Ma1	Ma2	Ma3	Ma4	Ma5	Ma6	Ma7	Ma8	Ma9	Ma10	Ma11	Ma12	Ma13	Ma14	Ma15	Ma16	Ma17	Ma18	Ma19	Ma20	Ma21	Ma22
ABL2(ENSG00000143322.19)(protein_coding)	1.54	1.01	2.31	2.24	1.72	1.54	3.11	1.41	2.31	2.63	2.21	3.87	1.27	2.44	3	3.28	5.47	2.13	4.59	9.03	5.83	7.78	3.97	10.05	7.17	2.77	3.23	2.72	5.52	7.26	11.31	3.6	7.38	3.95	6.72
RASSF8-AS1(ENSG00000246695.7)(antisense)	2.42	1.2	5.17	6.54	2.87	9.85	5.38	3.9	2.77	2.33	3.63	5.65	8.39	14.18	10.41	4.79	4.22	5.86	8.39	4.2	5.89	3.8	2.41	3.58	8.06	7	1.6	14.05	4.77	0.67	2.66	5.09	8.17	3.16	14.29
RP11-196G18.24(ENSG00000272993.1)(lincRNA)	3.31	0.04	1.68	2.19	7.55	1.6	2.91	0.8	3.33	4.02	3.4	2.21	3.9	4.66	18.24	1.92	4.11	7.35	9.4	1.72	6.47	0.99	0.88	1.8	7.02	1.27	3.24	4.4	3.77	2.82	6.14	1.84	3.41	2.17	5.08
SMTN(ENSG00000183963.18)(protein_coding)	40.27	50.12	58.05	74.02	39.85	100	68.07	66.02	37.2	43.44	34.71	50.52	76.8	27.12	27.31	56.04	12.43	98.73	14.95	31.32	36.2	50.23	127.76	25.42	36.52	37.87	21.63	135.66	48.37	15.36	64.86	27.63	13.39	29.12	35.36
TNNT2(ENSG00000118194.18)(protein_coding)	2.4	11.58	2.2	2.08	9.94	2.3	1.59	3.29	3.97	5.75	5.75	1.26	4.66	8.16	2.53	0.3	0.1	4.65	0.27	0.38	0.3	0.56	0.36	0.11	0.03	0.08	0.54	29.8	0.16	0.53	0.48	1.22	1.58	0.31	0.19
TUBB4B(ENSG00000188229.5)(protein_coding)	92.48	141.1	151.17	132.76	109.08	157.67	194.67	132.28	91.03	89.87	122.93	91.12	250.16	129.33	169.48	89.49	115.29	267.14	100.55	204.5	183.67	113.12	245.6	94.68	97.91	105.18	28.05	105.1	112.97	148.67	464.77	92.03	38.99	130.2	243.93
TRAF3IP2(ENSG00000056972.18)(protein_coding)	30.79	37.74	33.9	18.46	33.2	20.36	22.36	21.67	26.61	21.93	26.62	25.56	40.64	10.06	4.85	18.9	20.83	33.85	39.1	11.68	28.26	27.45	21.13	10.63	9.14	20.46	16.05	9.31	8.03	34.75	10.16	15.05	11.56	30.17	8.13
KDELC1(ENSG00000134901.12)(protein_coding)	5.61	3.16	9.25	3.99	2.88	7.87	7.27	9.43	7.1	4.36	3.49	9.41	3.69	16.78	20.13	20.74	14.05	5.98	41.17	12.5	10.69	17.22	6.7	13.11	21.75	15.47	11.65	28	29.52	2.74	23.3	26.91	18.47	6.69	16.45
FGGY(ENSG00000172456.16)(protein_coding)	5.93	8.73	4.52	9.05	10.1	5.7	6.87	25.66	8.92	8.57	8.66	8	10.14	3.06	97.49	12.57	26.39	5.21	9.09	17.81	8.63	72.73	4.9	7.86	2.62	6.82	4.14	5.03	4.7	7.55	5.85	6.77	19.25	8.7	0.72
STAG3(ENSG00000066923.17)(protein_coding)	1.44	2.1	0.69	1.4	2.61	2.14	0.91	0.19	1.84	1.48	2.02	1.24	1.11	1.1	9.47	0.75	0.26	2.71	0.89	6.07	3.98	0.7	0.71	0.62	12.59	1.78	0.09	2.36	2.32	0.54	1.03	3.21	1.74	0.55	7.83
MAP7D1(ENSG00000116871.15)(protein_coding)	53.51	40.1	57.9	82.64	36.74	58.58	53.72	47.85	29.36	37.44	46.81	36.46	53.78	90.91	49.61	29.7	54.95	46.4	53.69	63.94	54.61	49.72	91.23	43.3	49.71	41.8	25.12	62.3	48.96	28.48	109.72	34.25	30.63	39.07	53.59
MLF1(ENSG00000178053.17)(protein_coding)	6.79	4.09	11.41	11.65	7.34	8.32	10.82	12.42	8.67	8.45	7.42	13.56	7.52	47.51	47.11	15.75	23.26	12.4	44.02	18.93	15.12	13.36	4.85	33.76	13.93	15.8	10.65	14.48	39.58	13.05	14.18	21.08	19.18	13.76	43.56
GPM6B(ENSG00000046653.14)(protein_coding)	17.87	58.59	12.64	8.37	20.28	19.54	48.52	24.38	36.64	25.88	16.99	41.24	33.16	23.14	118.55	24.26	2.77	11.5	14.7	2.64	42.48	1.5	6.55	6.41	44.12	15.4	24.45	13.46	252.4	4.12	1.11	47.93	9.76	13.58	71.1
YTHDF2(ENSG00000198492.14)(protein_coding)	29.23	35.9	31.14	23.99	35.5	31.38	37.15	24.28	39.53	31.05	35.14	32.78	32.63	57.47	45.03	29.5	30.89	33.84	43.09	28.68	20.88	18.49	46.89	29.16	29.29	35.77	14.48	33.26	36.83	36.79	33.52	36.71	28.5	34.96	40.1
CYB5R4(ENSG00000065615.13)(protein_coding)	8.01	9.17	8.31	14.98	5.25	7.25	6.3	12.33	4.09	2.79	5.07	5.8	2.69	10.14	5.34	5.82	5.83	4.22	4.19	14.46	4.23	3.29	2.12	7.14	12.6	5.61	3.19	4.28	18.36	16.22	18.96	10.08	3.91	5.8	3.06
TM9SF1(ENSG00000100926.14)(protein_coding)	44.59	44.6	42.47	31.17	37.38	42.37	48.58	34.72	37.25	30.88	32.09	41.04	37.71	44.49	22.07	35.69	25.39	28.34	20.1	41.43	30.35	36.15	31.44	34.87	46.12	36.59	19.05	30.78	34.13	33.61	58.43	35.95	29.58	47.86	38.97
NEURL1B(ENSG00000214357.8)(protein_coding)	12.96	5.12	15.24	19.12	7.39	18.66	7.05	16.39	6.55	11.51	9.23	12.52	6.83	8.08	14.62	6.74	3.66	10.38	5.04	10.9	5.9	3.11	10.3	6.99	7.03	11.25	5.88	17.85	6.74	2.02	1.19	7.27	6.33	10.9	17.33
RHBDF2(ENSG00000129667.12)(protein_coding)	7.04	13.22	13.63	16.98	14.05	9.14	8.63	5.12	8.13	13.15	8.14	7.17	20.6	17.64	6.59	6.21	7.35	15.41	8	12.16	9.45	8.25	18.11	8.7	12.45	7.77	2.97	7.39	25.06	11.46	27.61	6.86	7.17	6.78	7.18
PRMT1(ENSG00000126457.20)(protein_coding)	97.53	142.17	136.53	95.34	108.6	144.43	127.01	117.62	93.04	101.56	97.27	82.91	152.24	236.68	142.49	66.13	73.31	172.53	105.62	95.53	76.87	84.19	130.96	64.3	58.92	76.78	54.52	132.29	122.45	79.99	139.2	98.46	35.12	90.77	123.79
ARF3(ENSG00000134287.9)(protein_coding)	66.27	68.79	57.8	50.7	64.75	59.44	81.31	56.22	54.88	58.49	52.14	61.84	56.01	45.73	36.92	42.42	65.73	44.17	45.91	53.42	60.66	29.08	53.26	34.99	53.04	74.65	38.2	30.85	36.75	44.21	78.46	53.41	33.51	78.68	37.9
RP11-425M5.7(ENSG00000276603.1)(sense_intronic)	0.68	1.87	1.45	5.91	1.32	1.02	1.94	0	2.17	5.34	0	1.08	6.31	0	1.94	0.51	0	0	0	0.25	0	0	1.66	0.1	0.46	0	0	0.62	0.79	0.42	0.65	0.93	0.09	0	0
RBM15(ENSG00000162775.14)(protein_coding)	2.82	1.85	2.96	1.72	2.02	2.45	3.83	1.44	3.72	3.66	2.54	3.86	1.79	5.59	2.29	2.43	1.28	1.48	4.01	3.49	0.51	0.91	3.81	2.88	3.63	1.71	1.07	2.26	3.99	1.57	2.62	2.76	2.74	1.7	2.97
PLXNB3(ENSG00000198753.11)(protein_coding)	8.92	10.44	14.37	5.31	41.56	11.86	9.74	18.42	8.72	5.7	24.91	9.89	15.89	0.7	0.19	2.61	2.47	52.09	0.22	0.8	5.59	4.77	4.1	5.02	0.27	1.59	0.07	2.38	0.83	11.65	5.13	4.06	0.36	2.78	0.01
GOLPH3L(ENSG00000143457.10)(protein_coding)	25.33	20.52	19.56	20.76	20.26	15.01	24.09	15.89	31.63	26.95	18.75	25.91	13.71	16.55	15.2	21.76	11.76	13.23	23.47	14.1	8.24	5.92	17.44	6.13	14.63	17.18	12.82	11.87	10.43	20.08	9.59	16.23	21.21	22.94	11.28
FAH(ENSG00000103876.11)(protein_coding)	35.13	22.49	21.7	94.19	17.48	23.2	23.03	29.48	16.31	13.91	25.79	17.16	17.63	10.51	27.98	13.88	15.28	21.51	29.1	11.42	12.39	9.48	18.68	12.42	13.52	17.12	9.67	20.57	16.77	31.22	27.47	21.42	9.1	17.02	14.89
RFX3(ENSG00000080298.15)(protein_coding)	1.67	1.6	2.3	0.33	3.2	3.25	3.37	1.76	4.17	3.65	3.86	2.87	0.68	4.04	2.61	2.95	1.44	0.76	4.71	1.16	1.42	1.59	2.34	0.92	1.78	1.59	2.4	2.4	2.29	1.37	1.39	2.8	2.09	1.69	1.6
TSPAN18(ENSG00000157570.11)(protein_coding)	11.73	5.04	14.38	18.92	4.09	10.54	7.82	9.4	6.23	6.68	5.52	11.53	1.76	85.53	13.68	24.73	12.03	7.78	42.39	8.84	17.08	77.93	22.87	28	15.23	26.27	25.8	47.63	36.26	0.15	2.14	11.1	41.12	25.15	71.53
TRIM6(ENSG00000121236.19)(protein_coding)	3.38	4.49	3.37	2.57	4.54	4.87	7.41	3.3	3.27	3.13	2.89	5.02	4.41	1.32	0.18	1.76	2.03	1.7	3.45	2.11	1.57	1.57	2.44	2.34	1.28	3.88	0.42	1.52	1.54	6.54	2.8	2.73	2.17	4.28	0.23
SYTL5(ENSG00000147041.11)(protein_coding)	1.55	1.04	0.54	0.56	2.29	1.47	3.92	1.2	1.12	0.94	5.35	2.8	1.94	0.75	0.01	4.21	0.09	2.21	0.09	6.78	0.61	0.36	0.31	0.07	0.1	2.4	0.01	0.21	0.16	1.8	0.06	2	1.08	5.07	0.17
PARVB(ENSG00000188677.14)(protein_coding)	19.82	20.08	34.18	59.03	8.74	31.15	9.66	22.98	12.44	14	11.43	9.39	18.76	8.72	9.14	11.37	17.52	12.94	11.81	44.35	27.81	79.21	61.72	31.01	14.38	13.79	9.52	25.55	18.74	14.55	27.71	11.92	10.39	17.58	10.68
RMDN2(ENSG00000115841.19)(protein_coding)	4.46	2.5	4.62	4.55	4.37	3.71	6.76	7.22	6.26	6.35	4.43	5.09	3.29	0.64	8.32	6.92	3.22	1.9	11.53	4.36	5.88	6.07	2.25	5.78	4.81	7.29	21.55	4	2.55	1.36	4.5	9.29	17.62	7.13	9.02
MAML3(ENSG00000196782.12)(protein_coding)	5.27	4.61	3.3	2.59	4.12	3.21	5.83	3.48	8.1	6.52	5.28	5.85	3.67	0.9	1.64	3.89	1.45	3.04	6.11	1.54	1.62	0.56	3.43	1.13	2.02	3.19	5.57	2.35	2.01	1.31	3.88	3.53	2.47	4.78	1.44
CTD-3001H11.2(ENSG00000277383.1)(antisense)	1.15	2.55	0	0.86	2.28	2.67	0.11	2.56	0.5	2.16	2.94	0.5	4.95	1.5	1.69	1.31	0.22	2	0.05	0.44	0.48	0.35	0.47	0.04	0.28	0.26	0.04	1.81	0.9	0.07	0.58	0.37	0.17	0.15	0.4
DROSHA(ENSG00000113360.16)(protein_coding)	13.82	16.68	19.56	16.22	45.13	28.25	24.67	37.34	23.36	22.43	29.82	21.43	42.71	44.15	38.92	40.84	62.96	46	100.69	21.76	48.22	26.52	35.9	16.85	12.42	20.71	26.56	42.05	51.06	13.08	32.03	24.36	34.36	22.68	85.39
CXCL16(ENSG00000161921.14)(protein_coding)	52.97	56.96	63.02	60.22	43.52	30.17	26.4	45.53	41.79	49.71	33.71	42.7	61.78	18.41	8.1	27.29	29.1	42.76	13.52	29.66	27.02	24.26	22.98	28.56	32.72	36.9	11.14	34.74	39.74	86.01	19.91	32.58	45.94	37.51	13.6
SMPDL3A(ENSG00000172594.12)(protein_coding)	12.46	14.03	12.49	11.91	10.3	8.52	13.44	8.25	9.3	10.06	14.04	13.83	6.51	4.01	4.12	30.42	7.42	8.17	4.2	10.02	7.81	5.16	5.22	5.61	11.08	21.64	9.24	4.51	8.29	3.92	11.34	8.13	16.51	6.58	3.23
FAM160A2(ENSG00000051009.10)(protein_coding)	37.74	41.79	30.28	24.03	54.49	33.46	28.29	27.52	33.89	36.75	42.36	39.81	48.43	38.71	13.73	29.46	9.31	65.15	14.29	16.88	13.21	12.54	21.38	7.7	16.3	10.77	12.93	34.89	23.49	12.64	14.13	22.57	10.5	9.84	18.17
RP11-706O15.5(ENSG00000205663.5)(lincRNA)	0.6	2.09	7.47	0.32	0.43	0	0.06	0.71	7.82	7.75	0.12	9.24	10.08	19.54	0.25	4.9	4.39	0.1	10.77	0.04	0.08	2.67	18.27	0.01	0.33	4.23	0.19	1.42	162.24	14.44	0.35	0	6.58	4.8	4.37
GNA14(ENSG00000156049.6)(protein_coding)	1.91	1.51	2.77	1.91	1.58	1.64	2.97	2.41	0.97	1.95	2.69	2.62	1.65	0.73	0.65	0.99	1.8	1.09	5.9	1.98	1.46	0.45	0.3	1.59	0.78	0.61	4.38	0.73	0.5	0.33	0.23	17.16	1.55	3.36	0.25
DISP1(ENSG00000154309.8)(protein_coding)	3.03	2.08	3.13	2.7	2.2	3.05	3.83	2.96	3.02	3.59	2.86	4.86	2.38	2.69	2.95	5.06	1.63	2.29	5.35	3.06	2.75	1.74	11.01	2.31	2.27	4.4	4	2.07	1.31	1.92	1.23	3.58	4.52	3.06	2.49
ZNF268(ENSG00000090612.20)(protein_coding)	9.58	12.93	7.64	3.97	8.32	8.55	13.64	8.32	15.74	19.3	7.98	17.07	8.98	22.18	9.01	13.84	7.48	3.69	9.82	9.28	7.84	3.55	13.46	6.62	10.86	6.46	11.86	9.74	11.36	7.4	10.16	11.31	12.34	9.46	8.45
ZNF235(ENSG00000159917.14)(protein_coding)	3.06	2.67	3.1	1.79	3.33	4.52	3.05	2.57	3.72	3.06	3.58	3.45	3.01	4.15	6.81	4.91	0.73	2.99	4.12	1.69	1.34	0.76	1.81	1.24	6.04	2.73	2.06	7.66	5.24	2.99	4.36	8.47	2.82	2.9	6.86
HEXA(ENSG00000213614.9)(protein_coding)	83.71	125.35	137.17	143.63	78.53	81.58	52.28	95.91	71.78	78.44	64.43	97.29	92.26	102.02	54.9	72.4	127.61	101.66	81.58	126.6	79	75.83	41.45	65.14	81.24	63.21	52.49	60.53	78.09	106.65	86.6	68.54	89.24	58.36	46.95
SPIN2A(ENSG00000147059.8)(protein_coding)	1.53	1.5	0.7	1.88	1.14	3.09	1.2	1.22	1.37	1.91	1.24	0.74	0.94	1.03	0.87	1.23	0.39	2.08	5.61	0.35	0.25	0.2	0.12	0.06	1.72	1.07	13.69	0.42	0.73	0.14	0.16	2.2	1.72	0.4	1
CENPU(ENSG00000151725.11)(protein_coding)	1.73	0.44	6.33	2.15	2.01	9.36	2.79	3.19	4.58	3.62	1.34	3.08	7.23	13.76	18.18	2.04	17.1	12.42	15.89	8.96	16.04	5.57	4.88	13.45	8.83	10.51	1.17	12.62	14.46	9.77	25.12	11.24	5.66	4.79	28.25
PSMD6(ENSG00000163636.10)(protein_coding)	40.72	43.26	49	48.56	41.28	55.22	58.4	40.97	38.45	37.77	34.16	43.44	42.96	37.07	84.57	58.06	154.17	50.07	70.94	63.25	76.34	35.44	29.25	30.31	67.19	40.89	46.76	42.48	83.21	60.73	70.49	59.12	57.81	49.82	66.93
KRT14(ENSG00000186847.5)(protein_coding)	254.4	848.64	338.61	327.99	499.05	194.87	284.93	610.9	232.11	332.13	323.32	337.96	800.86	1.14	0.06	94.46	0.19	280.16	0.03	45.74	22.84	112.87	20.91	11.22	0.05	23.08	7.02	45.84	0.35	502.88	37.52	125.47	82.18	156.04	0
SCIMP(ENSG00000161929.14)(protein_coding)	3.8	1.75	5.87	5.91	2.62	3.55	2.8	0.72	2.34	5.75	1.42	2.53	0.46	2.13	1.94	1.68	1.99	1.06	4.25	6.44	3.46	0.92	0.2	2.21	8.4	3.3	0.58	2.21	1	0.72	4.87	2.07	6.43	3.03	1.14
PPP4R2(ENSG00000163605.14)(protein_coding)	13.91	11.36	14.47	15	14.13	18.81	27.89	8.93	21.68	15.51	14.03	21.06	7.62	12.88	22.4	19.01	22.24	5.64	18.39	17.4	11.96	8.73	6.9	9.76	23.17	14.84	12.26	19.46	30.69	15.45	22.26	21.57	21.55	14.29	27.03
HBB(ENSG00000244734.3)(protein_coding)	197.84	85.61	226.46	182.37	10.33	829.78	58.58	95.47	11.12	33.4	249.56	120.23	5.65	10.12	1.67	28.25	16.57	5.31	7.56	39.29	1.17	1.48	14.59	226.13	29.23	20.41	19.38	8.26	17.36	11.21	7.56	4.14	59.52	27.01	6.41
RBM43(ENSG00000184898.6)(protein_coding)	8.37	3.4	3.14	2.35	5.71	2.84	6.26	4.42	8.33	10.58	6.05	8.73	2.92	1.07	1.7	7.2	4.1	0.94	6.02	5.97	8.51	2.31	0.82	4.26	5.94	6.25	16.13	2.88	0.99	4.68	4.62	7.98	7.75	5.63	4.32
POLR2H(ENSG00000163882.9)(protein_coding)	63.26	53.21	50.99	34.23	81.1	58.52	74.65	68.66	51.3	40.84	84.68	50.39	79.3	97.54	100.73	78.06	79.83	93.49	62.88	40.15	61.92	51.54	63.99	66.01	37.45	44.44	44.98	67.23	86.25	58.45	43.72	47.97	37.34	38.66	65.02
DPY30(ENSG00000162961.13)(protein_coding)	69.8	60.05	58.58	54.43	72.06	48.04	61.15	61.03	61.71	62.27	66.72	60.42	68.27	51.76	48.97	65.31	50.05	66.38	97.23	41.86	76.35	40.06	78.02	57.55	33.24	45.09	47.61	46.89	78.05	63.88	67.22	49.28	34.94	66.24	33.27
MICU1(ENSG00000107745.16)(protein_coding)	35.79	36.31	29.7	30.16	26.14	23.45	26.28	21.05	30.95	30.37	25.52	30.44	17.4	53.56	30.4	46.92	27.37	22.37	24.67	36.58	43.42	26.33	24.41	37.4	28.1	44.14	41.38	30.95	43.69	33.67	33.8	36.02	65.23	30.69	51.36
RP5-906C1.1(ENSG00000278231.1)(lincRNA)	0.19	0	0.97	0	0.82	1.36	0.72	12.69	0.77	0	0.86	0.2	0	1.08	0	0.27	0	0	0.24	1.3	0.27	0.14	0	0	0.23	0	0	1.39	0	0	0.26	0.46	0.3	0.15	0
CH507-338C24.1(ENSG00000277991.4)(lincRNA)	4.42	10.36	1.12	0.44	15.42	16.93	14.85	4.82	5.58	14.48	6.4	13.1	10.58	27.96	2.19	5.9	1.01	18.19	10.44	0.5	1.04	2.51	6.76	0.36	1.51	3.12	2.06	7.15	2.07	0.86	0.73	8.72	1.22	6.56	1.18
FAM21C(ENSG00000172661.17)(protein_coding)	24.39	16.84	22.9	25.52	28.35	18.64	22.4	24.15	26.17	29.38	28.1	22.92	21.27	33.65	24.55	36.79	19.97	30.15	28.09	24.87	26.13	13.73	9.05	14.84	18.76	18.7	27.71	26.92	37.08	19.35	17.8	21.61	35.79	18.72	17.05
RP11-266L9.8(ENSG00000275494.1)(sense_intronic)	8.34	12.11	4.52	13.43	6.48	5.46	3.42	8.13	3.58	8.99	8.35	3.88	10.93	5.64	2.05	3.8	0.85	15.54	1.76	2.27	0.62	1.19	0.63	0.39	0.5	1.59	0.45	3.28	4.17	2.56	1.14	1.05	0.1	1.68	1.49
RAB6C(ENSG00000222014.5)(protein_coding)	1.03	0.36	0.03	0.08	1.11	0.53	1.34	0.34	0.95	1.64	2.29	2.35	0.8	0.12	0.03	2.96	0	0.19	4.87	0	0.18	0.02	0.25	0	0	1.72	0.02	0.07	0.13	0.42	0	1.82	0.11	1.32	0
TRIM21(ENSG00000132109.9)(protein_coding)	12.68	21.45	15.75	12.93	13.65	11.44	10.49	16.53	13.1	12.75	11.81	10.83	11.02	34.34	14.38	12.37	8.9	7.65	17.58	19.12	18.74	7.47	13.69	9.72	22.43	10.12	14.23	8.77	7.48	13.2	34.57	7.41	14.67	17.1	10.85
RNF128(ENSG00000133135.13)(protein_coding)	4.37	6.29	1.63	1.57	4.12	1.05	4.35	3.58	10.03	7.39	7.76	6.28	5.42	0.36	0.17	4.06	0.7	2.05	0.18	0.49	1.19	0.33	0	0.33	1.53	2.07	0.22	0.38	1.29	7.8	0.54	2.65	0.24	4.85	0.06
XDH(ENSG00000158125.9)(protein_coding)	5.39	0.55	3.27	0.68	10.68	1.23	2.41	5.6	22.12	1.92	3.13	6.09	1.11	0.04	0.01	0.26	0.15	4.54	1.2	0.15	0.53	0.15	0.25	0.05	0.04	0.44	0.19	1.43	0.24	4.58	2.9	4.01	0.26	3.33	0.02
ZNF667-AS1(ENSG00000166770.10)(lincRNA)	26.36	20.75	13.2	20.82	28.41	13.94	18.5	20.23	19.41	28.17	29.17	28.87	12.63	31.02	41.13	26.42	6.55	12.93	24.74	15.43	19.04	14.29	12.86	21.39	14.25	26.11	3.89	22.83	20.55	11.07	0.97	36.28	14.26	40.99	28.71
MLLT6(ENSG00000275023.4)(protein_coding)	45.96	39.03	33.91	30.2	74.58	51.42	58.43	30.9	55.43	73.34	64.17	52.12	59.49	29.45	11.37	36.66	14.84	31.98	17	19.39	13.01	12.2	12.83	12.56	24.97	16.85	17.84	23.14	27.11	22.03	20.3	29.77	15.78	25.16	9.75
MBNL2(ENSG00000139793.18)(protein_coding)	42.44	22.05	14.63	19.85	27.54	16.32	41.36	18.44	51.66	47.16	26.83	56	14.3	13.28	6.48	43.47	16.39	4.98	22.24	21.95	10.18	9.34	1.96	25.17	19.02	28.12	40.31	15.09	12.64	42.28	9.62	48.17	23.35	31.62	17.52
MASTL(ENSG00000120539.14)(protein_coding)	3.36	1.91	3.36	2.23	2.89	2.32	4.63	2.92	5.85	2.95	2.53	4.16	2.55	5.83	9.66	2.07	11.03	3.09	5.32	6.55	7.99	2.98	1.21	9.45	6.18	5.9	3.33	5.52	11.72	5.64	13.51	6.62	4.14	2.76	6.89
UGGT2(ENSG00000102595.18)(protein_coding)	9.8	6.36	8.91	6.17	9.16	11.2	16.78	8.32	13.25	8.76	7.59	12.07	11.69	5.58	10.83	13.48	15.07	14.38	22.7	9.68	10.29	6.99	3.88	11.7	11.91	11.79	13.66	20.38	22	11.67	9.48	17.48	13.09	10.17	11.1
BANP(ENSG00000172530.19)(protein_coding)	10.86	15.75	14.04	13.59	18.73	16.74	17.21	13.33	15.03	12.27	21.8	14.1	23.81	17.5	10.66	13.52	10.04	15	14.08	7.15	11.02	15.07	21.25	9.21	8.97	10.44	8.24	19.65	16.09	6.69	11.07	9.6	8.91	11.11	10.79
DHX37(ENSG00000150990.7)(protein_coding)	5.87	7.25	8.1	5.34	8.06	8.03	8.19	4.48	7.17	6.85	6.19	6.06	11.84	16.66	7.74	5.15	6.56	9.23	7.2	6.47	5.56	9.63	19.37	5.52	7.72	4.88	2.03	7.83	14.03	5.47	11.23	5.48	2.9	5.09	4.79
FASN(ENSG00000169710.6)(protein_coding)	52.79	58.9	253.81	110.16	220.55	459.66	668.28	87.35	84.64	47.79	76.73	58.46	352.21	109.18	50.61	39.42	12.3	288.34	36.72	28.9	16.41	81.47	136.68	11.06	36.67	29.53	4.96	62.81	74.24	22.48	54.6	120.92	4.15	32.2	39.34
DDIT3(ENSG00000175197.10)(protein_coding)	41.25	56.62	35.38	72.81	30.02	19.38	21.1	55.48	33.22	36.64	45.18	33.04	37.9	278.71	46.02	57.26	17.41	35.25	12.29	20.11	45.01	39.35	68.65	22.58	43.74	15.35	17.43	103.66	112.68	17.48	35.35	12.12	44.68	19.23	37.16
CTSS(ENSG00000163131.10)(protein_coding)	61.95	63.41	113.6	152.5	28.43	40.56	23.91	46.74	37.53	55.99	29.44	52.14	14.44	77.15	33.42	24.08	124.43	18.01	51.89	153.01	92.1	34.07	11.35	65.67	129.54	49.01	19.22	21.57	57.98	54.11	169.76	21.43	189.94	51.51	26.82
RP11-9E17.1(ENSG00000277534.1)(sense_intronic)	0.85	0.75	0.68	0.58	2.82	1.7	3.35	0.75	1.26	1.19	1.47	1.98	1.68	2.09	0.84	0.97	0.65	2.95	0.49	0.33	0.75	0.19	0	0.31	0.3	0.92	0.32	0.99	0.99	1.2	1.61	1.38	0.34	2.36	0.22
MSL1(ENSG00000188895.11)(protein_coding)	65.42	64.1	66.75	46.44	88.06	71.32	96.15	73.94	80.24	77.61	83.69	74.55	90.66	68.93	44.86	65.23	59.4	61.32	55.21	28.7	66.36	34.51	19.07	40.11	51.06	53.26	60.42	146.28	55.12	30.94	40.62	53.57	71.38	51.06	38.17
LINC01237(ENSG00000233806.7)(processed_transcript)	2.12	2.69	0	2.59	2.58	1.47	2.45	1.97	2.9	8.04	3.52	2.52	2.62	0.07	0.37	1.93	0.07	0	1.04	0.46	0.04	0.1	0.28	0.04	0.25	0.31	0.27	1.52	0.41	1.78	0.29	1.73	0.04	0.13	0
C1orf204(ENSG00000188004.9)(protein_coding)	1.68	2.06	1.23	1.04	6.06	1.96	1.43	2.09	2.49	2.77	4.47	2.29	4.13	1.67	0.49	2.98	1.1	2.3	1.69	0.62	1.4	0.47	2.42	0.47	15.57	1.53	1.89	1.48	0.87	2.25	21.94	3.63	2.9	0.95	0.43
APOL2(ENSG00000128335.13)(protein_coding)	20.88	16.5	27.27	29.93	25.72	21.33	16.79	33.39	20.44	29.94	21.83	18.99	17.46	46.07	15.24	16.23	11.89	26.77	21.83	58.34	15.08	21.22	43.57	12.54	46.71	13.55	11.08	16.57	9.1	11.16	34.63	9.54	29.02	13.56	23.8
PTPN9(ENSG00000169410.9)(protein_coding)	13.73	14.82	16.79	17.49	12	23.46	20.16	12.56	16.24	14.91	10.86	21.3	13.15	18.93	34.7	17.2	20.5	7.27	43.72	15.57	18.82	23.23	12.23	14.64	15.78	33.56	59.46	17.47	15.8	12.94	20.63	25.15	20.66	19.28	26.56
ESM1(ENSG00000164283.12)(protein_coding)	2.51	1.02	1.18	0.13	1.11	1.4	0.67	0.83	2.09	1.64	1.22	1.25	2.25	16.92	19.72	2.59	8.23	0.66	1.49	0.68	17.79	5.71	13.58	15.61	8.04	9.99	2.58	7.42	32.68	0.1	185.48	1.23	2.95	0.34	3.57
VAMP5(ENSG00000168899.4)(protein_coding)	92.63	68.07	64.86	133.5	37.66	58.4	22.35	123.43	46.28	45.4	60.73	52.86	31.07	19.35	43.59	31.49	16	58.04	14.23	48.79	87.4	45.29	26.01	8.64	46.62	56.62	61.72	39.38	17.88	1.91	50.91	25.39	18.01	37.05	46.83
ATP1B2(ENSG00000129244.8)(protein_coding)	6.12	3.33	2.69	4.29	4.54	7.32	2.14	7.11	5.04	8.02	5.7	7.87	6.21	0.83	0.7	10.21	0.77	2.14	1.82	0.95	3.44	0.52	2.63	0.36	0.57	7.27	8.84	1.77	2.85	0.6	0.01	2.48	4.18	3.92	9.64
HINT2(ENSG00000137133.10)(protein_coding)	42.1	54.96	41.24	61.43	37.6	37.91	24.17	42.16	31.41	30.22	43.54	25.86	48.86	56.08	23.93	18.19	28.55	60.3	23.83	13.35	17.77	10.83	27.43	11.55	14.01	13.31	7.21	22.33	7.59	19.2	31.88	19.83	3.52	17.67	8.5
SF3B5(ENSG00000169976.6)(protein_coding)	169.86	168.38	147.9	138.75	141.42	146.49	109.7	152.88	129.55	120.37	149.37	117.34	216.64	200.06	155.14	127.63	121.94	180.17	93.77	99.45	94.8	118.41	184.86	99.91	59.63	102.9	80.64	113.42	152.5	113.92	92.81	82.03	24.16	138.87	136.56
ZNF793(ENSG00000188227.12)(protein_coding)	3.42	1.49	2.72	1.15	5.44	4.88	7.85	1.01	4.36	5.15	4.57	5.1	1.33	8.18	3.44	3.64	1.96	1.87	6.59	2.81	1.72	0.96	3.21	1.86	2.39	2.45	0.16	5.21	9.23	2.11	1.47	5.37	3.56	2.01	2.15
